id,species,order,group,realm
CITRL,Citril Finch,Passerine,Landbird,Mediterranean
CFSWL,Cliff Swallow,Passerine,Landbird,Nearctic
COFLY,Collared Flycatcher,Passerine,Landbird,European
CPRAT,Collared Pratincole,Non-Passerine,Waterbird,Mediterranean
NHAWK,Common Nighthawk,Non-Passerine,Landbird,Nearctic
YELWT,Common Yellowthroat,Passerine,Landbird,Nearctic
CMART,Crag Martin,Passerine,Landbird,Mediterranean
CCCRS,Cream-coloured Courser,Non-Passerine,Landbird,Afro-Tropical
CRLRK,Crested Lark,Passerine,Landbird,Mediterranean
CRTZB,Cretzschmar's Bunting,Passerine,Landbird,Levant
DPELI,Dalmatian Pelican,Non-Passerine,Waterbird,Levant
DBOWL,Dark-breasted Barn Owl,Non-Passerine,Landbird,European
DASRK,Daurian Shrike,Passerine,Landbird,Levant
ISSRK,Daurian/Turkestan Shrike,Passerine,Landbird,n/a
GTSPL,Greater Sand Plover,Non-Passerine,Waterbird,Levant
DWHTR,Desert Wheatear,Passerine,Landbird,Levant
DCRST,Double-crested Cormorant,Non-Passerine,Waterbird,Nearctic
DRSSE,Dresser's Eider,Non-Passerine,Wildfowl,Nearctic
DUSKT,Dusky Thrush,Passerine,Landbird,Oriental
ESWAG,East Siberian White Wagtail,Passerine,Landbird,Oriental
EBLRS,Eastern Black Redstart,Passerine,Landbird,Levant
EBEWT,Eastern Black-eared Wheatear,Passerine,Landbird,Levant
EBONW,Eastern Bonelli's Warbler,Passerine,Landbird,Levant
ECRWW,Eastern Crowned Warbler,Passerine,Landbird,Oriental
EKING,Eastern Kingbird,Passerine,Landbird,Nearctic
ENGLE,Eastern Nightingale,Passerine,Landbird,Oriental
EOLIW,Eastern Olivaceous Warbler,Passerine,Landbird,Levant
EORPH,Eastern Orphean Warbler,Passerine,Landbird,Levant
EPHOE,Eastern Phoebe,Passerine,Landbird,Nearctic
ECHAT,Eastern stonechat sp.,Passerine,Landbird,Oriental
ESUBW,Eastern Subalpine Warbler,Passerine,Landbird,Levant
TOWHE,Eastern Towhee,Passerine,Landbird,Nearctic
EYWAG,Eastern Yellow Wagtail,Passerine,Landbird,Oriental
ENJAR,Egyptian Nightjar,Non-Passerine,Landbird,Afro-Tropical
EGYPV,Egyptian Vulture,Non-Passerine,Landbird,Mediterranean
ELEGT,Elegant Tern,Non-Passerine,Waterbird,Pacific
ELEOF,Eleonora's Falcon,Non-Passerine,Landbird,Mediterranean
EGROS,Evening Grosbeak,Passerine,Landbird,Nearctic
EBRWT,Eyebrowed Thrush,Passerine,Landbird,Oriental
FALCD,Falcated Duck,Non-Passerine,Wildfowl,Oriental
FEASP,Fea's/Desertas Petrel,Non-Passerine,Seabird,Afro-Tropical
FEAZD,Fea's/Zino's/Desertas Petrel,Non-Passerine,Seabird,Afro-Tropical
FORST,Forster's Tern,Non-Passerine,Waterbird,Nearctic
FRKLN,Franklin's Gull,Non-Passerine,Waterbird,Nearctic
FRGPL,Fregatta petrel sp.,Non-Passerine,Seabird,Afro-Tropical
ANYFR,Frigatebird sp.,Non-Passerine,Seabird,Afro-Tropical
GNTPL,Giant petrel sp.,Non-Passerine,Seabird,Afro-Tropical
GLWGL,Glaucous-winged Gull,Non-Passerine,Waterbird,Pacific
GOLWW,Golden-winged Warbler,Passerine,Landbird,Nearctic
GTBHE,Great Blue Heron,Non-Passerine,Waterbird,Nearctic
GTBUS,Great Bustard,Non-Passerine,Landbird,European
GKNOT,Great Knot,Non-Passerine,Waterbird,Oriental
GREED,Great Reed Warbler,Passerine,Landbird,European
GSNPE,Great Snipe,Non-Passerine,Waterbird,European
GSCUC,Great Spotted Cuckoo,Non-Passerine,Landbird,Mediterranean
GYLGS,Greater Yellowlegs,Non-Passerine,Waterbird,Nearctic
GRNHE,Green Heron,Non-Passerine,Waterbird,Nearctic
GREEW,Green Warbler,Passerine,Landbird,Levant
GRCAT,Grey Catbird,Passerine,Landbird,Nearctic
GCHKT,Grey-cheeked Thrush,Passerine,Landbird,Nearctic
GTTAT,Grey-tailed Tattler,Non-Passerine,Waterbird,Oriental
GUBLT,Gull-billed Tern,Non-Passerine,Waterbird,European
GYRFL,Gyrfalcon,Non-Passerine,Landbird,Arctic
HRLQN,Harlequin Duck,Non-Passerine,Wildfowl,Nearctic
HAWKO,Hawk Owl,Non-Passerine,Landbird,Arctic
HERMT,Hermit Thrush,Passerine,Landbird,Nearctic
HMERG,Hooded Merganser,Non-Passerine,Wildfowl,Nearctic
HOODW,Hooded Warbler,Passerine,Landbird,Nearctic
HORRP,Hornemann's Arctic Redpoll,Passerine,Landbird,Arctic
HUDGT,Hudsonian Godwit,Non-Passerine,Waterbird,Nearctic
HUDWH,Hudsonian Whimbrel,Non-Passerine,Waterbird,Nearctic
HUMEW,Hume's Leaf Warbler,Passerine,Landbird,Oriental
IBECC,Iberian Chiffchaff,Passerine,Landbird,Mediterranean
IBWAG,Iberian Wagtail,Passerine,Landbird,Mediterranean
SOWAG,Iberian/Ashy-headed Wagtail group,Passerine,Landbird,Mediterranean
INDGB,Indigo Bunting,Passerine,Landbird,Nearctic
IWHTR,Isabelline Wheatear,Passerine,Landbird,Levant
IVORY,Ivory Gull,Non-Passerine,Waterbird,Arctic
KELPG,Kelp Gull,Non-Passerine,Waterbird,Afro-Tropical
KDEER,Killdeer,Non-Passerine,Waterbird,Nearctic
KINGE,King Eider,Non-Passerine,Wildfowl,Arctic
LANCE,Lanceolated Warbler,Passerine,Landbird,Oriental
LARKS,Lark Sparrow,Passerine,Landbird,Nearctic
LAUGL,Laughing Gull,Non-Passerine,Waterbird,Nearctic
LSBIT,Least Bittern,Non-Passerine,Waterbird,Nearctic
LSTSP,Least Sandpiper,Non-Passerine,Waterbird,Nearctic
LEAST,Least Tern,Non-Passerine,Waterbird,Nearctic
LCRET,Lesser Crested Tern,Non-Passerine,Waterbird,Afro-Tropical
LGSRK,Lesser Grey Shrike,Passerine,Landbird,Levant
LSKES,Lesser Kestrel,Non-Passerine,Landbird,Mediterranean
LSWFG,Lesser White-fronted Goose,Non-Passerine,Waterbird,European
LTBIT,Little Bittern,Non-Passerine,Waterbird,Mediterranean
LTBHE,Little Blue Heron,Non-Passerine,Waterbird,Nearctic
LTBUS,Little Bustard,Non-Passerine,Landbird,European
LTCRK,Little Crake,Non-Passerine,Waterbird,European
LTSWF,Little Swift,Non-Passerine,Landbird,Mediterranean
LITWH,Little Whimbrel,Non-Passerine,Waterbird,Oriental
LBDOW,Long-billed Dowitcher,Non-Passerine,Waterbird,Nearctic
LBMUR,Long-billed Murrelet,Non-Passerine,Seabird,Pacific
LLBUZ,Long-legged Buzzard,Non-Passerine,Landbird,Levant
LTSHR,Long-tailed Shrike,Passerine,Landbird,Oriental
LTOES,Long-toed Stint,Non-Passerine,Waterbird,Oriental
MQBUS,Macqueen's Bustard,Non-Passerine,Landbird,Levant
MAGFR,Magnificent Frigatebird,Non-Passerine,Seabird,Afro-Tropical
MAGNW,Magnolia Warbler,Passerine,Landbird,Nearctic
MANDT,Mandt's Black Guillemot,Non-Passerine,Seabird,Arctic
MARMW,Marmora's Warbler,Passerine,Landbird,Mediterranean
MARSP,Marsh Sandpiper,Non-Passerine,Waterbird,European
MASHR,Masked Shrike,Passerine,Landbird,Levant
MKWAG,Masked Wagtail,Passerine,Landbird,Oriental
LSLRK,Mediterranean/Turkestan Short-toed Lark,Passerine,Landbird,Mediterranean
MOLTW,Moltoni's Warbler,Passerine,Landbird,Mediterranean
MOURD,Mourning Dove,Non-Passerine,Landbird,Nearctic
MOURS,Moussier's Redstart,Passerine,Landbird,Mediterranean
MYRTL,Myrtle Warbler,Passerine,Landbird,Nearctic
NAUMT,Naumann's Thrush,Passerine,Landbird,Oriental
HRLRK,North American Horned Lark,Passerine,Landbird,Nearctic
NORHA,Northern Harrier,Non-Passerine,Landbird,Nearctic
NMOCK,Northern Mockingbird,Passerine,Landbird,Nearctic
