site,area,recording_area,lat,long,offshore,region,subregion
Dock Acres Gravel Pits,,Lancashire & North Merseyside,54.147,-2.743,,England,North West
Docking,,Norfolk,52.904,0.629,,England,East Anglia
Doddington,,Kent,51.283,0.773,,England,South East
Dodman Point,,Cornwall,50.221,-4.803,,England,South West
Dodman Point/Pendower,,Cornwall,50.214,-4.874,,England,South West
Dog's Bay,,County Galway,53.379,-9.962,,Ireland,Republic of Ireland
Dogger Bank,,At sea,54.996,3.005,1,,
Dogsthorpe,,Cambridgeshire,52.601,-0.234,,England,East Anglia
Dolgellau,,Meirionnydd,52.745,-3.888,,Wales,North Wales
Dolphinton,,Clyde,55.705,-3.427,,Scotland,Central Belt
Donegal Bay,,County Donegal,54.620,-8.181,,Ireland,Republic of Ireland
Donmouth,,North-east Scotland,57.177,-2.079,,Scotland,North East Scotland
Donmouth/Murcar,,North-east Scotland,57.192,-2.072,,Scotland,North East Scotland
Donna Nook,,Lincolnshire,53.480,0.142,,England,
Dooey Point,,County Donegal,54.879,-8.387,,Ireland,Republic of Ireland
Doolin,,County Clare,53.016,-9.381,,Ireland,Republic of Ireland
Doonbeg,,County Clare,52.731,-9.526,,Ireland,Republic of Ireland
Doonfoot,,Ayrshire,55.435,-4.662,,Scotland,South West Scotland
Doonloughan,,County Galway,53.433,-10.146,,Ireland,Republic of Ireland
Doorus Pier,,County Galway,53.172,-8.968,,Ireland,Republic of Ireland
Doorus Pier/Nimmo's Pier,,County Galway,53.220,-9.008,,Ireland,Republic of Ireland
Dorchester,,Dorset,50.710,-2.441,,England,South West
Dores,,Moray & Nairn,57.376,-4.335,,Scotland,North East Scotland
Dorking,,Surrey,51.229,-0.329,,England,South East
Dorman's Pool,,Cleveland,54.601,-1.207,,England,North East
Dorman's Pool/Saltholme,,Cleveland,54.601,-1.219,,England,North East
Dorman's Pool/Saltholme/Greatham Creek,,Cleveland,54.612,-1.217,,England,North East
Dornoch,,Highland,57.879,-4.018,,Scotland,Scottish Highlands
Dornoch/Embo,,Highland,57.893,-4.007,,Scotland,Scottish Highlands
Dornock,,Dumfries & Galloway,54.983,-3.202,,Scotland,South West Scotland
Dornock/Browhouses,,Dumfries & Galloway,54.979,-3.163,,Scotland,South West Scotland
Dosthill Lake,,Warwickshire,52.596,-1.689,,England,West Midlands
Double Dyke,,Fair Isle,59.535,-1.616,1,Scotland,Shetland
Douglas,,Clyde,55.556,-3.847,,Scotland,Central Belt
Douglas Estuary,,County Cork,51.880,-8.406,,Ireland,Republic of Ireland
Dounreay,,Caithness,58.579,-3.748,,Scotland,Scottish Highlands
Dove Stone,,Greater Manchester,53.532,-1.955,,England,North West
Dover,,Kent,51.125,1.318,,England,South East
Dovercourt,,Essex,51.932,1.276,,England,East Anglia
Dowdeswell Reservoir,,Gloucestershire,51.876,-2.015,,England,Severn Valley
Dowlaw,,Scottish Borders,55.922,-2.239,,Scotland,South East Scotland
Dowles Brook,,Worcestershire,52.387,-2.370,,England,West Midlands
Downham Market,,Norfolk,52.604,0.380,,England,East Anglia
Downhill,,County Derry,55.167,-6.823,,Ireland,Northern Ireland
Downholland Moss,,Lancashire & North Merseyside,53.567,-2.980,,England,North West
Downpatrick Head,,County Mayo,54.324,-9.344,,Ireland,Republic of Ireland
Downpatrick Marshes,,County Down,54.341,-5.715,,Ireland,Northern Ireland
Dowrog Common,,Pembrokeshire,51.895,-5.241,,Wales,South Wales
Doxey Marshes,,Staffordshire,52.819,-2.142,,England,West Midlands
Dozmary Pool,,Cornwall,50.542,-4.550,,England,South West
Drakelow,,Derbyshire,52.774,-1.636,,England,East Midlands
Draycote Water,,Warwickshire,52.326,-1.324,,England,West Midlands
Drayton Bassett,,Staffordshire,52.612,-1.714,,England,West Midlands
Drift Reservoir,,Cornwall,50.107,-5.590,,England,South West
Drift Reservoir/Newlyn,,Cornwall,50.107,-5.570,,England,South West
Drift Reservoir/Newlyn/Hayle Estuary/Marazion,,Cornwall,50.136,-5.488,,England,South West
Drimsdale,South Uist,Outer Hebrides,57.312,-7.387,1,Scotland,Hebrides
Drogheda,,County Louth,53.714,-6.347,,Ireland,Republic of Ireland
Droman Pier,,Highland,58.484,-5.112,,Scotland,Scottish Highlands
Dromochter,,Highland,56.859,-4.249,,Scotland,Scottish Highlands
Dronger,,Fair Isle,59.551,-1.637,1,Scotland,Shetland
Droskyn Castle,,Cornwall,50.347,-5.157,,England,South West
Drumburgh,,Cumbria,54.928,-3.147,,England,North West
Drumnadrochit,,Highland,57.334,-4.480,,Scotland,Scottish Highlands
Drums,,North-east Scotland,57.294,-2.025,,Scotland,North East Scotland
Druridge Bay,,Northumberland,55.280,-1.571,,England,North East
Dryslwyn Meadows,,Carmarthenshire,51.863,-4.111,,Wales,South Wales
Dublin,,County Dublin,53.347,-6.261,,Ireland,Republic of Ireland
Dufftown,,North-east Scotland,57.447,-3.129,,Scotland,North East Scotland
Dulsie Bridge,,Highland,57.451,-3.781,,Scotland,Scottish Highlands
Dumbarton Castle,,Clyde,55.937,-4.563,,Scotland,Central Belt
Dumbarton Castle/West Ferry,,Clyde,55.931,-4.560,,Scotland,Central Belt
Dumfries,,Dumfries & Galloway,56.068,-3.602,,Scotland,South West Scotland
Dummer,,Hampshire,51.210,-1.160,,England,South East
Dump (St Mary's),St Mary's,Isles of Scilly,49.915,-6.307,1,England,South West
Dump (St Mary's)/Porthmellon,St Mary's,Isles of Scilly,50.091,-5.549,1,England,South West
Dump (Tresco),Tresco,Isles of Scilly,49.955,-6.330,1,England,South West
Dump Clump,St Mary's,Isles of Scilly,49.915,-6.305,1,England,South West
Dumpton Gap,,Kent,51.349,1.439,,England,South East
Dun Laoghaire,,County Dublin,53.295,-6.133,,Ireland,Republic of Ireland
Dunany Point,,County Louth,53.871,-6.268,,Ireland,Republic of Ireland
Dunbar,,Lothian,56.002,-2.512,,Scotland,South East Scotland
Dunbeath,,Caithness,58.251,-3.433,,Scotland,Scottish Highlands
Dunblane,,Upper Forth,56.186,-3.962,,Scotland,Central Belt
Duncansby Head,,Caithness,58.644,-3.025,,Scotland,Scottish Highlands
Duncormick,,County Wexford,52.225,-6.653,,Ireland,Republic of Ireland
Duncormick/Rathangan/The Cull,,County Cork,52.217,-6.643,,Ireland,Republic of Ireland
Duncrue Street Marsh,,County Antrim,54.618,-5.917,,Ireland,Northern Ireland
Dundalk,,County Louth,54.013,-6.402,,Ireland,Republic of Ireland
Dundalk/Soldiers Point,,County Louth,54.011,-6.375,,Ireland,Republic of Ireland
Dundee,,Angus & Dundee,56.465,-2.953,,Scotland,North East Scotland
Dundonnell,,Highland,57.838,-5.213,,Scotland,Scottish Highlands
Dundrum Bay,,County Down,54.260,-5.835,,Ireland,Northern Ireland
Dunfanaghy,,County Donegal,55.184,-7.968,,Ireland,Republic of Ireland
Dungarvan,,County Waterford,52.092,-7.619,,Ireland,Republic of Ireland
Dungeness,,Kent,50.919,0.965,,England,South East
Dungeness/Rye Harbour,,Kent,50.930,0.864,,England,South East
Dunglass,,Scottish Borders,55.942,-2.375,,Scotland,South East Scotland
Dungloe,,County Donegal,54.951,-8.357,,Ireland,Republic of Ireland
Dunkettle,,County Cork,51.907,-8.382,,Ireland,Republic of Ireland
Dunkettle/Blackrock Castle,,County Cork,51.904,-8.212,,Ireland,Republic of Ireland
Dunmere Woods,,Cornwall,50.485,-4.754,,England,South West
Dunmoran Strand,,County Sligo,54.263,-8.724,,Ireland,Republic of Ireland
Dunmore,,County Waterford,52.148,-6.993,,Ireland,Republic of Ireland
Dunmore Head,,County Kerry,52.110,-10.448,,Ireland,Republic of Ireland
Dunnackburn,,Ayrshire,55.079,-4.908,,Scotland,South West Scotland
Dunnet Bay,,Caithness,58.618,-3.352,,Scotland,Scottish Highlands
Dunnet Bay/St John's Pool,,Caithness,58.625,-3.344,,Scotland,Scottish Highlands
Dunnington,,Yorkshire,53.965,-0.979,,England,North East
Dunowen Head,,County Cork,51.540,-8.924,,Ireland,Republic of Ireland
Dunquin,,County Kerry,52.130,-10.450,,Ireland,Republic of Ireland
Dunrossness,Mainland,Shetland,59.921,-1.296,1,Scotland,Shetland
Dunsby Fen,,Lincolnshire,52.845,-0.276,,England,
Dunsford Woods,,Devon,50.682,-3.693,,England,South West
Dunshalt,,Fife,56.278,-3.218,,Scotland,South East Scotland
Dunstable Sewage Farm,,Bedfordshire,51.907,-0.544,,England,Home Counties
Dunstanburgh Castle,,Northumberland,55.489,-1.595,,England,North East
Dunster Beach,,Somerset,51.198,-3.428,,England,South West
Dunster Beach/Bilbrook,,Somerset,51.179,-3.407,,England,South West
Duntulm,Skye,Highland,57.683,-6.340,,Scotland,Scottish Highlands
Dunwich,,Suffolk,52.270,1.630,,England,East Anglia
Durham,,Durham,54.776,-1.576,,England,North East
Durigarth,Mainland,Shetland,59.934,-1.315,1,Scotland,Shetland
Durkadale,Mainland,Orkney,59.104,-3.212,1,Scotland,
Durleigh Reservoir,,Somerset,51.121,-3.045,,England,South West
Durleigh Reservoir/Bridgwater Bay,,Somerset,51.164,-3.055,,England,South West
Durleigh Reservoir/Chew Valley Lake,,Somerset,51.228,-2.833,,England,South West
Durleigh Reservoir/Chilton Trinity Ponds,,Somerset,51.137,-3.025,,England,South West
Durlston,,Dorset,50.595,-1.956,,England,South West
Durness,,Highland,58.568,-4.741,,Scotland,Scottish Highlands
Dursey Island,,County Cork,51.599,-10.195,,Ireland,Republic of Ireland
Dyfi Estuary,,Ceredigion,54.542,-4.032,,Wales,South Wales
Dyfi Estuary/Ynyshir/Ynyslas,,Ceredigion,53.030,-4.022,,Wales,South Wales
Dykeside,Westray,Orkney,59.310,-3.006,1,Scotland,
Dymchurch,,Kent,51.030,1.000,,England,South East
Dymock,,Herefordshire,51.979,-2.437,,England,Severn Valley
Earith Gravel Pits,,Cambridgeshire,52.369,0.037,,England,East Anglia
Earl's Barton Gravel Pits,,Northamptonshire,52.252,-0.732,,England,East Midlands
Earlshall,,Fife,56.379,-2.868,,Scotland,South East Scotland
Earsary,Barra,Outer Hebrides,56.971,-7.425,1,Scotland,Hebrides
Easby,,Cleveland,54.470,-1.110,,England,North East
Easington,,Yorkshire,53.653,0.118,,England,North East
Easkey,,County Sligo,54.286,-8.957,,Ireland,Republic of Ireland
Easkey/Carrowmacbrien,,County Sligo,54.288,-8.997,,Ireland,Republic of Ireland
East Allington,,Devon,50.324,-3.729,,England,South West
East Blean,,Kent,51.337,1.140,,England,South East
East Boldon,,Durham,54.947,-1.422,,England,North East
East Brae Oil Platform,,At sea,58.875,1.533,1,,
East Budleigh,,Devon,50.654,-3.320,,England,South West
East Burrafirth,Mainland,Shetland,60.307,-1.350,1,Scotland,Shetland
East Chevington,,Northumberland,55.283,-1.577,,England,North East
East Chevington/Amble Braid/Cresswell Pond,,Northumberland,55.276,-1.567,,England,North East
East Chevington/Druridge Bay,,Northumberland,55.282,-1.574,,England,North East
East Chevington/Hauxley/Druridge Bay/Cresswell Pond,,Northumberland,55.266,-1.562,,England,North East
East Chevington/Newbiggin,,Northumberland,55.236,-1.545,,England,North East
East Coast,,County Wicklow,53.070,-6.043,,Ireland,Republic of Ireland
East Coker,,Somerset,50.909,-2.655,,England,South West
"East Cornwall between Hayle, College Reservoir, Restronguet Creek, St Winnow and Ruan Lanihorne",,Cornwall,50.263,-4.934,,England,South West
"East Cornwall between Ruan Lanihorne, Restronguet Creek, Hayle, Helford, Helston, Perranuthnoe, St Clement and Malpas",,Cornwall,50.217,-5.102,,England,South West
East Dean,,Hampshire,51.039,-1.617,,England,South East
East Denwick,Mainland,Orkney,58.961,-2.728,1,Scotland,
East Grinstead,,Surrey,51.128,-0.014,,England,South East
East Guldeford,,Sussex,50.959,0.755,,England,South East
East Halton Skitter,,Lincolnshire,53.674,-0.254,,England,
East Ham,Bressay,Shetland,60.138,-1.113,1,Scotland,Shetland
East Hills,,Norfolk,52.971,0.875,,England,East Anglia
East Ilsley,,Oxfordshire,51.527,-1.290,,England,Home Counties
East Kirbest,Westray,Orkney,59.278,-2.969,1,Scotland,
East Malling,,Kent,51.292,0.438,,England,South East
East Mersea,,Essex,51.797,0.988,,England,East Anglia
East Mersea/Bradwell/Fingringhoe Wick,,Essex,51.797,0.956,,England,East Anglia
East Okemont Valley,,Devon,50.723,-3.974,,England,South West
East Prawle,,Devon,50.215,-3.710,,England,South West
East Pundsgeo (Noss),Noss,Shetland,60.151,-1.011,1,Scotland,Shetland
East Runton,,Norfolk,52.936,1.274,,England,East Anglia
East Sleekburn,,Northumberland,55.145,-1.550,,England,North East
East Soar,,Devon,50.224,-3.806,,England,South West
East Tilbury,,Essex,51.466,0.432,,England,East Anglia
East Tuddenham,,Norfolk,52.660,1.074,,England,East Anglia
East Wemyss,,Fife,56.161,-3.065,,Scotland,South East Scotland
East Wretham,,Norfolk,52.462,0.814,,England,East Anglia
Eastbourne,,Sussex,50.770,0.289,,England,South East
Eastbrook,,East Glamorgan,51.439,-3.206,,Wales,South Wales
Easter Ellister,Islay,Argyll,55.694,-6.455,1,Scotland,Hebrides
Easter Ellister/Loch Talant,Islay,Argyll,55.688,-6.258,1,Scotland,Hebrides
Easter Lother,,Fair Isle,59.550,-1.617,1,Scotland,Shetland
Easter Muchalls,,North-east Scotland,57.012,-2.167,,Scotland,North East Scotland
Easter Quarff,Mainland,Shetland,60.098,-1.242,1,Scotland,Shetland
Easter Skeld,Mainland,Shetland,60.188,-1.440,1,Scotland,Shetland
Eastern Isles (general),,Isles of Scilly,49.948,-6.258,1,England,South West
Easting,Unst,Shetland,60.699,-0.869,1,Scotland,Shetland
Eastling,,Kent,51.276,0.814,,England,South East
Easton,,Cumbria,54.921,-3.131,,England,North West
Easton Bavents,,Suffolk,52.346,1.687,,England,East Anglia
Easton Bavents/Southwold,,Suffolk,52.335,1.684,,England,East Anglia
Easton Nab,,Cleveland,54.558,-1.122,,England,North East
Easton/Skinburness,,Cumbria,54.949,-3.247,,England,North West
Eastrington Ponds,,Yorkshire,53.760,-0.809,,England,North East
Eastville Park,,Avon,51.475,-2.556,,England,South West
Eccles,,Norfolk,52.809,1.566,,England,East Anglia
Eccles/Sea Palling,,Norfolk,52.798,1.586,,England,East Anglia
Ecclesbourne Glen,,Sussex,50.862,0.612,,England,South East
Eccleston Mere,,Lancashire & North Merseyside,53.448,-2.782,,England,North West
Eccup Reservoir,,Yorkshire,53.871,-1.546,,England,North East
Echna Loch,Burray,Orkney,58.854,-2.912,1,Scotland,
Ecton Sewage Farm,,Northamptonshire,52.248,-0.787,,England,East Midlands
Eday,,Orkney,59.192,-2.773,1,Scotland,
Edderthorpe Flash,,Yorkshire,53.559,-1.380,,England,North East
Eddystone Lighthouse,,Devon,50.184,-4.268,1,England,South West
Eden Estuary,,Fife,56.362,-2.888,,Scotland,South East Scotland
Eden Valley,,Cumbria,54.700,-2.667,,England,North West
Edenderry,,County Offaly,53.343,-7.052,,Ireland,Republic of Ireland
Edgbaston Reservoir,,West Midlands,52.479,-1.938,,England,West Midlands
Edrom,,Scottish Borders,55.792,-2.275,,Scotland,South East Scotland
Efford Marsh,,Devon,50.307,-3.840,,England,South West
Eggesford Forest,,Devon,50.864,-3.866,,England,South West
Eggington,,Derbyshire,52.846,-1.583,,England,East Midlands
Eggleston,,Durham,54.610,-2.003,,England,North East
Egilsay,,Orkney,59.157,-2.931,1,Scotland,
Eglwys Nunydd Reservoir,,Gower,51.549,-3.740,,Wales,South Wales
Egmere,,Norfolk,52.900,0.835,,England,East Anglia
Egmere/West Barsham/Docking,,Norfolk,52.894,0.729,,England,East Anglia
Eigg (general),Eigg,Highland,56.902,-6.157,1,Scotland,Scottish Highlands
Elan Valley,,Radnorshire,52.291,-3.572,,Wales,Powys
Elgin Oil Installation,,At sea,57.166,2.000,1,,
Elie Ness,,Fife,56.184,-2.811,,Scotland,South East Scotland
Eling Great Marsh,,Hampshire,50.915,-1.476,,England,South East
Elland Gravel Pits,,Yorkshire,53.699,-1.805,,England,North East
Ellel,,Lancashire & North Merseyside,54.002,-2.784,,England,North West
Ellesmere,,Cheshire & Wirral,53.283,-2.896,,England,North West
Ellister,Mainland,Shetland,60.231,-1.301,1,Scotland,Shetland
Ellough,,Suffolk,52.426,1.595,,England,East Anglia
Ellough/Hulver,,Suffolk,52.427,1.611,,England,East Anglia
Elly Strand,Mullet Peninsula,County Mayo,54.162,-10.087,,Ireland,Republic of Ireland
Elmley,,Kent,51.381,0.796,,England,South East
Elmley/Harty/Oare Marshes,,Kent,51.359,0.867,,England,South East
Elmley/Oare Marshes,,Kent,51.364,0.843,,England,South East
Elmley/Swale,,Kent,51.372,0.813,,England,South East
Elsham,,Lincolnshire,53.597,-0.439,,England,
Elton Reservoir,,Greater Manchester,53.580,-2.319,,England,North West
Elwick,,Northumberland,55.626,-1.818,,England,North East
Elwick/Fenham Flats,,Northumberland,55.636,-1.830,,England,North East
Ely,,Cambridgeshire,52.399,0.262,,England,East Anglia
Embleton Quarry,,Northumberland,55.499,-1.634,,England,North East
Embo,,Highland,57.907,-3.996,,Scotland,Scottish Highlands
Encombe House,,Dorset,50.616,-2.062,,England,South West
Endrick River,,Clyde,56.057,-4.527,,Scotland,Central Belt
Ennerdale Forest,,Cumbria,54.513,-3.333,,England,North West
Enniscrone,,County Sligo,54.216,-9.095,,Ireland,Republic of Ireland
Eoligarry,Barra,Outer Hebrides,57.039,-7.432,1,Scotland,Hebrides
Eoligarry/Morghan,Barra,Outer Hebrides,57.014,-7.424,1,Scotland,Hebrides
Eoropie,Lewis,Outer Hebrides,58.503,-6.624,1,Scotland,Hebrides
Epney,,Gloucestershire,51.798,-2.346,,England,Severn Valley
Epney/Cotswold Water Park,,Gloucestershire,51.727,-2.142,,England,Severn Valley
Epping Forest,,Essex,51.670,0.056,,England,East Anglia
Eridge,,Sussex,51.101,0.224,,England,South East
Eriskay,,Outer Hebrides,57.076,-7.293,1,Scotland,Hebrides
Erith Pier,,Greater London,51.482,0.182,,England,South East
Erme Estuary,,Devon,50.324,-3.936,,England,South West
Erme Valley,,Devon,50.411,-3.921,,England,South West
Ernesettle,,Devon,50.424,-4.183,,England,South West
Esha Ness,Mainland,Shetland,60.491,-1.575,1,Scotland,Shetland
Eskmeals,,Cumbria,54.324,-3.396,,England,North West
Esknish,Islay,Argyll,55.804,-6.202,1,Scotland,Hebrides
Eswick,Mainland,Shetland,60.267,-1.121,1,Scotland,Shetland
Ethie Mains,,Angus & Dundee,56.622,-2.502,,Scotland,North East Scotland
Ettrick Bay,,Clyde Islands,55.847,-5.133,1,Scotland,Central Belt
Etwall Sewage Farm,,Derbyshire,52.829,-1.604,,England,East Midlands
Everland,Fetlar,Shetland,60.598,-0.795,1,Scotland,Shetland
Eves Loch,Mainland,Orkney,58.940,-2.785,1,Scotland,
Evie,Mainland,Orkney,59.113,-3.108,1,Scotland,
Evie/Orphir,Mainland,Orkney,59.018,-3.132,1,Scotland,
Ewhurst,,Surrey,51.150,-0.440,,England,South East
Exe Estuary,,Devon,60.621,-3.431,,England,South West
Exe Estuary/Bowling Green Marsh,,Devon,55.650,-3.446,,England,South West
Exeter,,Devon,50.721,-3.521,,England,South West
Exminster Marshes,,Devon,50.677,-3.477,,England,South West
Exminster Marshes/Topsham,,Devon,50.681,-3.471,,England,South West
Exmouth,,Devon,50.619,-3.416,,England,South West
Exmouth/Dawlish Warren,,Devon,50.614,-3.427,,England,South West
Exmouth/Teignmouth/Countess Wear/Topsham,,Devon,50.662,-3.472,,England,South West
Exnaboe,Mainland,Shetland,50.892,-1.287,1,Scotland,Shetland
Exnaboe/Sumburgh,Mainland,Shetland,55.381,-1.287,1,Scotland,Shetland
Exnaboe/Virkie,Mainland,Shetland,55.390,-1.296,1,Scotland,Shetland
Exnaboe/Virkie/Mousa Sound/Noss (Mainland),Mainland,Shetland,58.815,-1.301,1,Scotland,Shetland
Eyebrook Reservoir,,Leicestershire & Rutland,52.552,-0.742,,England,East Midlands
Eyke,,Suffolk,52.116,1.383,,England,East Anglia
Eynhallo Sound,Mainland,Orkney,59.137,-3.130,1,Scotland,
Eythorne,,Kent,51.198,1.268,,England,South East
Fagbury Cliff,,Suffolk,51.964,1.303,,England,East Anglia
Fahamore,,County Kerry,52.305,-10.036,,Ireland,Republic of Ireland
Fail,,Ayrshire,55.527,-4.503,,Scotland,South West Scotland
Fair Isle (general),,Fair Isle,59.532,1.630,1,Scotland,Shetland
Fairburn Ings,,Yorkshire,53.743,-1.317,,England,North East
Fairhaven,,Lancashire & North Merseyside,53.742,-3.013,,England,North West
Fairlop,,Greater London,51.602,0.084,,England,South East
Fairview,,County Dublin,53.362,-6.231,,Ireland,Republic of Ireland
Fala Moor,,Lothian,55.831,-2.907,,Scotland,South East Scotland
Falkenham,,Suffolk,52.001,1.334,,England,East Anglia
Fall Bay,,Gower,51.563,-4.292,,Wales,South Wales
Fallmore,Mullet Peninsula,County Mayo,54.097,-10.095,,Ireland,Republic of Ireland
Falmouth,,Cornwall,50.152,-5.066,,England,South West
Fanad Head,,County Donegal,55.276,-7.634,,Ireland,Republic of Ireland
Fanmore,Mull,Argyll,56.520,-6.197,1,Scotland,Hebrides
Fanore,,County Clare,53.105,-9.295,,Ireland,Republic of Ireland
Far Ings,,Lincolnshire,53.694,-0.472,,England,
Fareham,,Hampshire,50.852,-1.190,,England,South East
Fareham Creek,,Hampshire,50.849,-1.177,,England,South East
Farlington Marshes,,Hampshire,50.833,-1.029,,England,South East
Farlington Marshes/Portsmouth/Southsea,,Hampshire,50.804,-1.063,,England,South East
Farmoor Reservoir,,Oxfordshire,51.752,-1.357,,England,Home Counties
Farnborough,,Hampshire,51.296,-0.764,,England,South East
Farne Islands,,Northumberland,55.628,-1.629,1,England,North East
Farne Islands/Cresswell Pond/East Chevington/Saltholme/Isle of May/Cairnbulg/Ythan Estuary,,Northumberland,56.979,-1.976,,England,North East
Farne Islands/Dorman's Pool/South Gare,,Northumberland,54.873,-1.270,,England,North East
Farne Islands/Hartlepool Headland/Beacon Ponds/Hauxley/Cresswell Pond/North Gare/Seaton Snook/Teesmouth,,Northumberland,54.688,-1.191,,England,North East
Farne Islands/Hartlepool Headland/Holy Island/Cresswell Pond/Hauxley/Tynemouth/Long Nanny/South Gare/Seaton Snook,,Northumberland,54.818,-1.255,,England,North East
Farne Islands/Hartlepool Headland/Whitburn/Reclamation Pond,,Northumberland,54.831,-1.288,,England,North East
Farne Islands/Hauxley,,Northumberland,55.471,-1.591,,England,North East
Farne Islands/Long Nanny,,Northumberland,55.585,-1.631,,England,North East
Farne Islands/Reclamation Pond/Hauxley,,Northumberland,55.214,-1.482,,England,North East
Farne Islands/St Abbs Head/Saltfleetby,,Northumberland,54.586,-0.822,,England,North East
Farnham Gravel Pits,,Yorkshire,54.032,-1.465,,England,North East
Farnham Heath,,Surrey,51.186,-0.774,,England,South East
Farranfore,,County Kerry,52.172,-9.550,,Ireland,Republic of Ireland
Fastnet Lighthouse,,County Cork,51.389,-9.604,1,Ireland,Republic of Ireland
Fawley,,Hampshire,50.827,-1.350,,England,South East
Faxfleet,,Yorkshire,53.706,-0.694,,England,North East
Feal Burn,Fetlar,Shetland,60.598,-0.858,1,Scotland,Shetland
Feall Bay,Coll,Argyll,56.593,-6.663,1,Scotland,Hebrides
Featherstone,,Yorkshire,53.676,-1.357,,England,North East
Feaval,Mainland,Orkney,59.035,-3.280,1,Scotland,
Felbrigg,,Norfolk,52.909,1.265,,England,East Anglia
Felbrigg/Metton,,Norfolk,52.899,1.266,,England,East Anglia
Felbrigg/Northrepps,,Norfolk,52.907,1.302,,England,East Anglia
Felixkirk,,Yorkshire,54.255,-1.283,,England,North East
Felixstowe,,Suffolk,51.960,1.351,,England,East Anglia
Felixstowe Ferry,,Suffolk,51.989,1.390,,England,East Anglia
Felixstowe Ferry/Kingsfleet,,Suffolk,51.991,1.376,,England,East Anglia
Felixstowe Ferry/Kirton Creek,,Suffolk,52.008,1.366,,England,East Anglia
Felmingham,,Norfolk,52.813,1.339,,England,East Anglia
Fen Ditton,,Cambridgeshire,52.222,0.178,,England,East Anglia
Fen Drayton,,Cambridgeshire,52.308,-0.037,,England,East Anglia
Fen Drayton/Berry Fen,,Cambridgeshire,52.322,-0.022,,England,East Anglia
Fen Drayton/Ouse Washes,,Cambridgeshire,52.389,0.074,,England,East Anglia
Fenham Flats,,Northumberland,55.645,-1.843,,England,North East
Fenit,,County Kerry,52.278,-9.861,,Ireland,Republic of Ireland
Fenstanton,,Cambridgeshire,52.299,-0.075,,England,East Anglia
Feock,,Cornwall,50.205,-5.052,,England,South West
Feothanach,,County Kerry,52.216,-10.352,,Ireland,Republic of Ireland
Fernhurst,,Sussex,51.048,-0.724,,England,South East
Fernworthy Reservoir,,Devon,50.641,-3.889,,England,South West
Ferny Ness,,Lothian,55.989,-2.897,,Scotland,South East Scotland
Ferring,,Sussex,50.809,-0.446,,England,South East
Ferrybank,,County Wexford,52.348,-6.456,,Ireland,Republic of Ireland
Ferrybridge,,Dorset,50.585,-2.472,,England,South West
Ferrybridge/Abbotsbury,,Dorset,50.625,-2.535,,England,South West
Ferrybridge/Langton Herring,,Dorset,50.613,-2.510,,England,South West
Ferrycarrig,,County Wexford,52.351,-6.509,,Ireland,Republic of Ireland
Ferryden,,Angus & Dundee,56.700,-2.472,,Scotland,North East Scotland
Ferryside,,Carmarthenshire,51.770,-4.368,,Wales,South Wales
Fethard-on-Sea,,County Wexford,52.192,-6.840,,Ireland,Republic of Ireland
Fetlar (general),Fetlar,Shetland,60.603,-0.856,1,Scotland,Shetland
Fiddler's Ferry,,Cheshire & Wirral,53.367,-2.683,,England,North West
Fidwell Fen,,Cambridgeshire,52.325,0.245,,England,East Anglia
Field,,Fair Isle,59.526,-1.631,1,Scotland,Shetland
Fife Ness,,Fife,56.279,-2.586,,Scotland,South East Scotland
Filby Broad,,Norfolk,52.663,1.634,,England,East Anglia
Filey,,Yorkshire,54.212,-0.285,,England,North East
Filey/Bempton/Flamborough Head,,Yorkshire,56.279,-2.586,,England,North East
Filsham,,Sussex,50.860,0.525,,England,South East
Fincham,,Norfolk,52.630,0.495,,England,East Anglia
Findatie,,Perth & Kinross,56.178,-3.337,,Scotland,Scottish Highlands
Findhorn Bay,,Moray & Nairn,57.656,-3.615,,Scotland,North East Scotland
Findhorn Bay/Burghead,,Moray & Nairn,57.678,-3.550,,Scotland,North East Scotland
Findhorn Valley,,Highland,57.280,-4.073,,Scotland,Scottish Highlands
Fingringhoe Wick,,Essex,51.834,0.974,,England,East Anglia
Finniquoy,,Fair Isle,59.533,-1.616,1,Scotland,Shetland
Finstown,Mainland,Orkney,59.007,-3.116,1,Scotland,
Finvarra Point,,County Clare,53.150,-9.135,,Ireland,Republic of Ireland
Firemore Beach,,Highland,57.831,-5.682,,Scotland,Scottish Highlands
Firkeel,West Beara,County Cork,51.608,-10.122,,Ireland,Republic of Ireland
Firsby Reservoir,,Yorkshire,53.456,-1.256,,England,North East
Firth,Mainland,Shetland,60.450,-1.203,1,Scotland,Shetland
Firths Voe,Mainland,Shetland,60.446,-1.192,1,Scotland,Shetland
Firville Lake,,County Tipperary,53.075,-8.069,,Ireland,Republic of Ireland
Fishburn,,Durham,54.683,-1.437,,England,North East
Fisher Tarn,,Cumbria,54.330,-2.690,,England,North West
Fisher's Green,,Essex,51.707,-0.009,,England,East Anglia
Fisherrow,,Lothian,55.946,-3.068,,Scotland,South East Scotland
Fishguard,,Pembrokeshire,51.997,-4.976,,Wales,South Wales
Fishlake Meadows,,Hampshire,51.000,-1.487,,England,South East
Fishtown of Usan,,Angus & Dundee,56.682,-2.452,,Scotland,North East Scotland
Fiskerton Fen,,Lincolnshire,53.234,-0.376,,England,
Fladdabister,Mainland,Shetland,60.076,-1.222,1,Scotland,Shetland
