site,area,recording_area,lat,long,offshore,region,subregion
Balelone,North Uist,Outer Hebrides,57.636,-7.483,1,Scotland,Hebrides
Balemartine,Tiree,Argyll,56.456,-6.898,1,Scotland,Hebrides
Balemore,North Uist,Outer Hebrides,57.577,-7.459,1,Scotland,Hebrides
Balephetrish,Tiree,Argyll,56.520,-6.859,1,Scotland,Hebrides
Balephetrish/Kenovay/Cornaigmore,Tiree,Argyll,56.518,-6.893,1,Scotland,Hebrides
Balephuil,Tiree,Argyll,56.456,-6.941,1,Scotland,Hebrides
Baleshare,North Uist,Outer Hebrides,57.535,-7.352,1,Scotland,Hebrides
Balevullin,Tiree,Argyll,56.517,-6.948,1,Scotland,Hebrides
Balgarva,South Uist,Outer Hebrides,57.397,-7.386,1,Scotland,Hebrides
Balgavies Loch,,Angus & Dundee,56.648,-2.763,,Scotland,North East Scotland
Balgedie,,Perth & Kinross,56.219,-3.349,,Scotland,Scottish Highlands
Balgedie/Loch Leven,,Perth & Kinross,56.208,-3.359,,Scotland,Scottish Highlands
Balgray Reservoir,,Clyde,55.785,-4.373,,Scotland,Central Belt
Baliasta,Unst,Shetland,60.764,-0.890,1,Scotland,Shetland
Balivanich,Benbecula,Outer Hebrides,57.474,-7.382,1,Scotland,Hebrides
Ballaghennie Ayres,,Isle of Man,54.407,-4.412,1,,
Ballajora,,Isle of Man,54.291,-4.341,1,,
Ballaugh,,Isle of Man,54.310,-4.540,1,,
Ballina,,County Mayo,54.115,-9.150,,Ireland,Republic of Ireland
Ballinacarriga,,County Cork,51.705,-9.031,,Ireland,Republic of Ireland
Ballinaclash,,County Wexford,52.427,-6.344,,Ireland,Republic of Ireland
Ballinclamper,,County Waterford,52.088,-7.555,,Ireland,Republic of Ireland
Ballinoe,Tiree,Argyll,56.474,-6.920,1,Scotland,Hebrides
Ballinoe/Loch a'Phuill,Tiree,Argyll,56.473,-6.932,1,Scotland,Hebrides
Ballinskelligs,,County Kerry,51.825,-10.273,,Ireland,Republic of Ireland
Ballitarsin,Islay,Argyll,55.771,-6.219,1,Scotland,Hebrides
Ballo Reservoir,,Fife,56.231,-3.253,,Scotland,South East Scotland
Balloch,,Highland,57.495,-4.115,,Scotland,Scottish Highlands
Ballyalla,,County Clare,52.800,-8.986,,Ireland,Republic of Ireland
