Start,End,midLat,midLong
Willington Gravel Pits,Foremark Reservoir,52.828,-1.54
Willington Gravel Pits,Highbridge Gravel Pits,52.843,-1.584
Willington Gravel Pits,Long Eaton Gravel Pits,52.865,-1.412
Wilstone Reservoir,Miswell Farm,51.805,-0.683
Wingletang,Troy Town,49.89,-6.346
Winterton,Bacton,52.787,1.585
Wissington Beet Factory,Welney,52.54,0.357
Woon Gumpus,Carnyorth Commons,50.143,-5.662
Wych Cross,Gill's Lap,51.067,0.057
Wykeham Forest,Long Nab,54.307,-0.49
Ynyslas,Afon Dwyfor,52.713,-4.159
Ynyslas,Ynyshir,52.531,-4.001
Ythan Estuary,Blackdog,57.273,-2.033
